age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome
45,9,0,5,1,2,0,0,1,0,36,5,1
34,9,1,3,0,2,2,0,7,2,116,1,1
39,9,1,5,0,1,1,0,3,4,68,3,1
33,1,1,1,0,0,0,1,3,4,292,1,1
34,1,1,2,0,0,0,1,4,1,157,5,1
35,4,1,6,0,0,0,0,1,3,253,1,1
43,1,1,0,0,2,0,1,4,4,36,4,1
41,9,1,5,0,0,2,1,6,0,36,2,1
52,0,0,1,0,2,0,1,4,4,219,1,1
46,0,1,3,1,2,2,1,6,1,358,3,1
53,2,0,6,0,0,0,1,7,1,247,1,1
51,6,1,2,0,2,0,1,6,2,162,2,1
37,6,1,2,0,0,0,1,6,0,327,1,1
39,0,2,7,0,0,0,1,6,3,411,1,1
39,4,0,6,1,2,0,1,6,3,205,2,1
42,1,1,2,0,2,0,1,4,0,516,5,1
32,0,1,3,0,0,0,0,7,3,464,3,1
26,7,2,2,1,2,0,0,6,3,191,1,0
49,1,1,7,1,0,0,1,4,4,112,4,1
49,0,0,2,0,2,0,1,6,2,312,3,1
46,0,0,2,0,2,0,1,6,2,56,2,1
35,9,1,5,0,2,2,1,6,0,36,2,1
46,6,1,6,0,0,2,0,3,3,554,5,1
29,7,2,6,0,0,0,1,6,0,332,1,1
55,4,1,0,0,0,0,1,6,3,325,3,1
47,4,1,0,1,2,0,0,7,4,117,1,1
29,7,1,3,0,2,2,0,6,3,380,1,1
26,9,2,6,0,0,2,0,3,4,109,3,1
26,0,1,7,0,0,0,0,5,2,359,1,0
28,9,1,6,0,2,0,0,3,4,321,1,1
26,9,1,5,0,0,0,1,6,2,260,1,1
34,0,1,5,0,2,0,0,1,4,276,3,1
39,9,1,6,1,2,0,0,1,0,207,4,1
37,0,2,6,0,0,0,0,1,2,105,1,1
33,7,1,0,0,0,0,1,6,2,402,1,1
32,1,2,2,0,2,0,0,7,2,75,2,1
38,1,1,2,0,0,0,1,4,4,333,1,1
46,0,1,6,1,0,0,0,1,3,123,2,1
39,1,1,1,1,0,0,0,6,3,132,1,1
27,0,2,6,0,0,0,0,6,0,86,1,2
30,0,1,6,0,2,2,0,0,2,554,2,1
32,1,2,0,0,2,2,1,4,1,156,1,1
36,1,2,1,0,2,0,0,7,3,330,1,1
50,0,1,3,0,2,0,0,0,1,554,2,1
27,9,2,6,0,2,0,0,1,2,250,3,0
44,1,0,2,0,2,0,1,6,4,166,1,1
55,5,1,6,0,0,0,1,1,1,133,1,1
55,1,1,7,1,2,0,0,1,0,286,1,1
55,5,1,6,0,2,2,1,0,1,89,5,1
29,0,2,3,0,2,0,0,9,2,216,1,2
38,9,1,3,0,2,0,0,3,3,554,5,1
31,1,1,2,0,2,0,1,4,1,208,1,1
37,9,0,2,0,2,0,0,0,1,247,1,0
39,1,0,2,1,0,0,0,6,4,95,1,0
34,9,1,5,0,0,0,0,6,3,278,2,1
30,9,2,6,1,2,0,0,6,2,63,3,1
39,10,1,5,0,2,0,1,4,4,281,4,1
26,1,2,3,0,2,0,0,3,3,214,1,1
40,0,0,6,0,2,0,0,0,2,194,2,1
30,6,2,6,0,2,0,0,9,3,191,1,1
34,0,0,6,0,0,0,0,7,2,493,2,0
44,4,1,3,1,2,0,0,3,1,102,5,1
38,2,1,1,0,0,0,0,4,3,271,1,2
29,0,2,3,0,0,0,1,3,4,38,1,1
33,9,1,3,0,0,0,0,1,3,398,2,1
29,4,2,6,0,2,0,1,7,4,103,1,1
29,1,2,1,0,0,0,0,1,0,260,3,1
54,4,0,6,0,0,0,1,6,1,554,2,1
51,0,1,3,0,2,0,0,7,1,89,1,1
26,1,0,3,0,2,0,0,3,4,57,2,1
48,1,0,5,0,0,0,0,7,1,554,1,1
55,5,1,0,0,2,0,1,6,1,102,2,1
30,1,1,0,1,0,0,1,6,0,142,3,0
55,1,1,2,1,0,0,1,6,4,150,1,1
31,6,2,6,0,2,0,0,0,2,383,1,1
55,5,1,1,1,0,0,1,6,1,268,3,1
40,6,1,7,1,0,0,1,3,1,554,1,1
51,2,1,0,1,0,0,1,6,0,277,3,1
46,4,1,6,0,0,2,1,6,4,103,5,1
31,1,2,3,0,0,0,0,7,4,145,1,1
53,1,1,3,0,0,2,0,3,1,136,2,1
37,0,1,3,0,2,0,0,0,2,226,1,2
41,1,1,1,0,0,0,1,6,2,74,2,1
33,1,1,2,1,2,0,0,6,0,554,5,1
35,9,2,5,0,2,0,0,1,3,67,1,1
26,1,1,0,1,2,0,0,3,2,530,3,1
42,0,2,6,0,0,0,1,6,2,172,4,1
42,9,1,5,0,0,0,1,6,3,554,1,1
31,1,1,0,1,0,0,0,3,4,99,2,1
55,5,1,5,0,1,1,0,8,2,181,1,2
26,8,2,3,0,2,0,0,6,2,47,3,1
27,0,0,3,0,2,0,1,6,3,206,2,1
26,4,2,6,0,2,0,1,6,1,165,2,1
42,6,1,0,1,2,0,0,3,0,126,3,1
55,7,1,0,1,2,2,0,7,0,119,1,0
32,0,2,6,0,2,2,0,1,4,72,2,1
28,0,2,3,0,0,2,0,3,0,63,5,1
41,0,2,3,0,0,2,1,6,1,111,1,1
30,7,1,3,0,2,0,0,3,0,554,1,1
47,1,0,2,1,0,0,1,6,4,159,2,1
30,0,2,3,0,2,0,0,6,2,464,2,1
55,1,1,1,1,0,0,0,3,3,232,4,1
55,5,1,0,0,2,2,0,3,0,67,2,1
40,9,1,3,0,2,0,0,7,4,118,1,1
40,0,1,6,0,0,0,0,1,4,53,3,1
50,1,1,0,0,2,0,1,6,3,206,1,1
39,1,1,1,1,0,2,0,3,2,122,1,1
37,1,3,1,1,0,2,1,6,0,36,2,1
33,0,0,3,0,0,0,1,6,3,190,1,1
38,7,1,2,0,1,1,1,4,0,48,1,1
41,2,1,1,0,0,0,1,3,3,275,2,1
39,9,0,5,0,2,0,0,6,0,128,2,0
48,9,1,5,0,0,0,0,8,2,491,1,2
34,6,1,5,0,1,1,1,6,0,252,4,1
33,4,1,6,0,0,0,1,6,2,166,3,1
41,0,2,1,0,1,1,1,6,4,92,1,1
30,0,2,6,0,2,0,0,3,3,255,2,2
31,7,1,2,0,2,0,1,6,0,186,5,1
39,3,1,5,0,2,0,0,1,0,192,2,1
36,1,1,2,0,2,0,1,6,4,231,2,1
44,9,1,5,0,2,0,1,4,3,57,2,1
51,1,1,0,0,0,0,0,3,0,46,1,1
38,1,1,5,0,0,0,1,4,1,182,3,1
49,10,1,5,0,2,0,0,4,3,298,3,1
43,9,1,3,0,2,0,0,9,2,531,1,1
55,0,1,3,0,2,0,0,7,3,173,1,0
46,0,1,6,1,0,0,1,4,1,230,3,1
43,9,2,3,0,0,0,0,7,0,61,2,1
54,9,0,5,1,2,0,0,1,0,343,4,1
31,10,2,5,0,0,0,0,7,2,250,1,0
41,0,2,3,0,2,0,1,6,3,214,1,1
43,9,1,3,0,0,0,0,3,4,332,3,1
55,5,1,6,0,0,0,0,7,1,507,1,1
48,9,0,5,0,0,0,0,3,4,127,2,1
43,4,1,7,1,0,2,0,0,2,36,1,1
55,5,1,1,0,0,0,0,6,1,233,2,1
50,4,1,6,0,2,0,1,6,4,281,2,1
39,1,2,0,0,1,1,0,6,4,554,3,1
34,0,2,3,0,0,0,0,0,3,231,1,1
38,0,1,1,0,0,0,0,3,2,169,5,1
26,9,1,2,1,0,0,1,4,4,554,1,1
27,0,1,3,0,2,0,0,6,4,319,2,1
44,4,1,6,0,2,0,0,4,3,71,3,1
29,6,1,5,0,0,0,1,4,4,36,1,1
42,1,1,1,1,0,0,0,7,3,364,2,1
52,1,1,2,0,2,0,1,6,3,319,1,1
46,0,1,6,0,2,0,0,3,0,341,3,1
43,1,1,0,0,2,0,1,4,4,109,1,1
36,0,2,3,0,0,0,0,3,2,165,1,1
50,6,1,6,0,2,0,1,4,0,306,2,1
54,9,1,6,0,0,0,0,7,3,432,2,1
54,7,2,3,1,0,0,1,6,2,144,1,1
37,9,2,5,0,0,0,0,1,2,120,1,1
55,1,0,0,0,0,0,1,4,1,554,4,1
35,1,1,7,0,2,0,0,6,2,554,3,1
29,0,2,6,0,0,0,0,1,3,103,4,1
45,0,0,6,0,2,0,0,3,2,554,2,1
50,0,0,0,0,2,0,0,6,1,36,5,1
36,7,1,3,0,0,0,1,6,1,225,2,1
54,1,0,0,0,2,0,0,6,3,138,3,1
45,9,0,5,0,2,2,0,7,2,554,1,1
44,0,1,6,1,2,2,0,1,2,163,1,1
36,7,1,3,0,1,1,0,0,3,104,3,1
55,2,1,5,1,2,0,0,3,0,243,2,1
27,0,1,6,0,0,2,0,3,0,554,2,1
29,0,1,3,0,2,0,0,7,1,155,1,1
26,10,2,2,0,0,2,1,6,2,546,5,1
53,1,1,0,1,0,0,0,3,0,93,4,1
55,1,1,2,1,2,0,0,1,2,152,2,1
39,9,1,5,0,2,2,0,6,2,113,2,1
29,7,2,3,0,2,0,1,3,4,206,1,1
55,5,1,0,1,2,0,1,6,0,554,2,1
30,4,2,6,0,2,0,1,6,4,83,1,1
55,4,1,2,0,0,0,0,3,4,109,3,1
55,9,1,6,1,0,0,0,3,1,36,5,1
54,2,1,6,0,2,0,1,4,4,39,2,1
35,1,2,2,0,2,0,0,6,4,181,1,1
55,4,1,6,1,2,0,0,3,2,212,1,1
30,0,2,6,0,0,0,0,6,3,113,1,2
35,7,2,0,0,0,0,1,6,3,329,1,1
38,0,2,2,0,2,0,0,7,1,554,1,0
33,9,2,2,0,0,0,0,7,3,61,3,1
26,9,2,6,0,2,0,0,8,0,374,1,1
35,0,2,6,0,2,0,1,7,3,263,2,1
31,6,1,6,0,2,2,0,7,1,60,1,0
31,9,2,6,0,2,2,0,3,2,328,1,1
34,0,1,6,0,2,0,1,3,0,126,4,1
30,0,2,6,0,0,0,0,3,2,257,2,1
49,7,1,3,0,2,0,0,1,3,158,2,1
27,6,2,6,0,0,0,0,1,1,241,2,1
37,1,1,0,0,0,0,0,6,2,345,1,1
48,7,1,7,0,0,0,0,7,1,51,1,1
52,0,1,6,0,2,0,0,1,3,469,1,1
49,9,1,6,0,0,0,0,6,2,188,1,0
46,1,0,2,0,2,0,1,6,0,133,1,1
38,1,1,3,0,0,0,1,4,1,358,3,1
48,0,0,3,0,2,2,1,4,2,554,2,1
31,9,2,5,0,2,0,0,3,3,77,3,1
33,1,1,2,1,0,2,1,4,3,321,1,1
42,0,0,6,0,2,0,0,1,1,91,5,1
34,1,1,2,0,2,0,1,6,3,355,2,1
31,1,2,2,0,0,2,0,3,4,85,2,1
48,9,0,5,0,2,2,0,3,4,232,1,1
34,1,1,2,0,0,0,1,4,0,114,5,1
37,4,2,6,0,0,0,0,0,1,161,1,0
55,2,1,6,0,0,0,0,9,3,170,1,0
55,0,1,1,0,2,0,1,6,3,210,3,1
55,5,1,0,1,2,0,0,6,4,205,1,0
55,6,1,6,0,2,2,0,1,3,554,4,1
38,7,1,1,0,2,0,0,7,2,88,2,1
48,1,1,5,0,0,0,1,6,1,219,2,1
51,0,1,6,0,2,0,0,7,4,93,1,1
31,1,1,1,1,1,1,1,6,0,554,1,1
27,0,1,5,0,2,0,0,6,2,102,1,0
35,7,1,3,1,2,2,0,6,4,224,1,1
30,0,1,6,0,0,0,0,0,3,161,1,1
39,2,1,5,0,2,0,0,7,2,195,3,0
34,0,1,6,0,0,2,1,6,1,165,2,1
29,0,2,6,0,2,2,0,1,4,153,3,1
55,4,1,6,0,2,0,0,4,3,114,3,1
32,7,2,3,0,0,0,1,4,1,223,2,1
50,0,0,2,0,0,0,1,6,0,145,4,1
47,7,2,2,0,0,0,0,3,1,64,2,1
36,9,1,5,0,0,0,0,1,1,554,3,1
26,0,2,6,0,2,0,0,9,2,420,1,2
30,6,2,6,0,2,0,1,6,2,244,2,1
32,0,2,6,0,2,0,0,7,3,145,2,0
28,9,1,5,0,0,0,1,3,2,45,1,1
32,4,1,6,0,0,0,0,7,3,107,1,1
27,7,1,3,1,0,0,1,6,0,136,2,1
35,9,0,5,1,0,0,0,7,3,143,1,1
51,1,1,7,1,0,2,1,6,1,76,3,1
30,0,1,6,0,1,1,0,1,2,55,5,1
55,5,1,3,0,0,0,1,6,4,302,1,1
28,7,1,3,0,2,0,0,3,3,191,1,1
47,9,0,3,0,0,0,0,3,2,42,5,1
42,4,1,6,1,2,0,1,6,4,265,1,1
45,7,1,6,1,2,0,1,3,1,317,5,1
31,1,1,2,0,2,0,1,4,4,554,2,1
27,0,0,3,0,0,0,1,6,3,290,4,1
49,1,1,0,1,2,0,0,3,3,56,3,1
26,8,2,3,0,0,0,0,1,2,185,2,2
43,1,1,0,1,1,1,0,6,1,485,2,1
30,1,2,0,1,0,0,1,4,1,554,1,1
41,0,1,6,0,2,0,0,1,0,36,5,1
27,7,2,3,0,0,0,0,3,2,129,2,1
34,1,1,2,0,0,0,0,7,3,54,1,0
52,9,1,5,0,2,2,0,9,3,77,1,1
48,7,1,3,1,2,2,0,1,4,190,1,1
36,1,1,2,0,2,0,0,6,3,415,1,1
55,3,0,1,1,2,0,0,6,3,130,1,1
29,0,1,6,0,2,0,0,6,4,126,2,0
26,0,2,6,0,1,1,0,4,3,554,2,1
53,6,1,6,0,2,0,0,7,0,61,4,1
45,1,1,0,0,0,0,1,6,1,101,1,1
55,5,1,7,0,0,0,0,0,2,117,1,1
33,1,1,2,1,2,0,0,6,2,554,3,1
36,0,1,6,0,2,2,0,1,0,96,1,0
48,6,1,3,0,2,0,0,1,0,175,1,1
41,4,1,7,0,2,0,1,4,0,143,2,1
30,6,2,6,0,2,2,0,1,4,131,3,1
27,0,1,5,0,2,0,0,6,2,444,1,1
48,2,1,2,0,2,0,0,3,4,44,5,1
26,7,2,5,0,0,0,0,3,3,363,1,0
47,9,2,7,0,0,0,0,3,3,117,2,1
27,6,2,6,0,0,2,1,4,0,100,4,1
35,10,2,1,1,2,0,0,7,3,76,1,1
46,1,0,1,0,1,1,1,4,2,45,5,1
35,4,2,6,0,2,0,0,3,3,554,5,1
31,9,1,5,0,0,0,0,1,1,36,1,1
26,7,2,3,0,2,0,0,6,0,53,2,1
55,1,1,5,0,1,1,1,6,0,340,1,1
46,6,1,6,0,0,2,0,1,2,432,3,1
55,5,1,0,1,2,0,0,8,0,476,1,2
52,10,1,7,0,0,0,1,6,1,472,3,1
37,1,0,2,0,2,0,0,3,2,554,4,1
48,1,2,0,0,0,2,0,3,3,271,1,1
45,0,1,3,0,2,0,0,1,2,41,1,1
54,9,1,3,0,2,0,0,3,3,187,4,1
27,1,1,1,1,2,0,1,4,1,235,1,1
33,9,2,5,0,2,0,0,6,4,519,2,0
47,7,1,2,0,2,0,0,0,2,554,3,1
42,1,1,2,0,2,0,0,3,2,57,3,1
30,0,2,6,0,2,0,1,6,2,68,1,1
26,4,2,6,0,0,0,1,4,0,554,1,1
43,0,1,3,0,2,2,0,3,1,183,3,1
38,9,1,5,0,2,0,0,1,3,124,3,1
35,1,1,0,0,2,0,0,0,0,98,1,1
32,1,1,3,0,2,0,0,7,4,104,1,1
55,1,1,0,1,2,0,1,6,0,334,1,1
33,6,1,1,0,0,0,1,6,0,554,5,1
34,0,2,3,0,2,0,0,6,0,554,2,1
41,6,1,6,0,2,0,1,6,0,150,5,1
41,0,1,3,0,0,0,1,4,2,152,2,1
35,6,1,6,0,2,0,0,4,2,269,1,1
32,0,2,6,0,2,0,1,7,0,135,1,1
40,9,0,6,0,0,0,0,1,3,207,3,1
26,8,2,0,0,2,0,0,6,2,220,1,0
45,4,1,3,1,2,0,0,1,4,228,1,1
34,0,2,6,0,0,0,0,7,2,169,1,2
33,0,1,6,0,0,0,0,1,4,140,1,1
32,3,1,0,0,2,0,1,6,2,325,1,1
33,9,2,6,0,0,0,0,1,0,120,1,1
35,9,2,6,0,0,0,0,1,2,165,1,1
55,2,0,6,0,1,1,0,0,4,121,2,0
31,1,1,1,0,0,0,0,3,0,255,2,1
42,2,1,3,0,2,0,1,6,0,81,1,1
34,4,1,6,0,2,0,1,7,2,36,1,1
37,1,1,2,0,0,0,0,6,0,65,2,0
54,6,1,2,0,0,2,0,7,3,72,1,1
35,0,2,6,0,2,0,1,6,3,153,1,1
51,9,1,5,0,2,0,0,0,2,341,1,1
47,1,1,1,0,2,0,1,4,2,554,1,1
49,0,2,3,0,2,0,0,3,3,554,1,1
44,1,1,3,0,0,0,1,6,4,250,4,1
39,4,2,6,0,2,0,1,4,2,160,5,1
55,3,1,1,1,2,0,1,6,3,121,2,1
44,3,1,2,1,2,0,1,6,1,118,4,1
28,0,2,3,0,0,0,0,5,0,347,2,1
31,9,2,5,0,0,0,0,1,2,511,1,1
43,1,1,0,0,2,0,0,0,1,268,1,1
48,1,1,0,0,1,1,1,3,1,360,3,1
39,0,1,6,0,2,0,1,4,2,138,1,1
55,3,1,0,0,2,0,0,7,0,66,1,1
34,0,2,6,0,0,0,0,1,1,299,3,1
39,2,0,3,0,0,0,1,6,4,52,2,1
55,5,2,3,0,0,0,1,4,3,136,4,1
47,4,1,6,0,2,2,0,1,1,57,2,1
35,9,1,7,1,0,0,1,6,2,554,2,1
44,10,1,3,1,2,0,0,1,4,209,1,1
41,2,1,0,0,0,0,0,3,1,531,1,1
32,0,2,6,0,0,0,0,6,0,61,4,1
33,1,1,2,0,2,0,1,6,4,166,1,1
49,0,1,6,0,2,2,1,4,2,185,2,1
29,1,2,2,0,2,0,1,6,3,330,2,1
38,1,2,2,0,0,2,0,6,4,222,2,0
42,9,1,2,0,0,0,0,7,1,295,1,1
30,4,2,3,0,0,2,0,7,3,322,1,1
26,1,1,2,0,2,2,1,6,0,101,5,1
55,11,2,7,1,2,0,1,6,3,211,1,1
40,9,1,5,1,2,0,0,3,2,554,5,1
26,1,1,0,0,2,0,0,3,2,144,1,1
29,0,1,6,0,2,2,0,1,1,164,1,1
43,1,1,1,1,2,0,0,0,0,36,4,1
35,0,2,3,0,0,0,0,6,3,107,2,0
40,4,0,6,0,2,0,0,4,4,117,1,1
55,5,1,3,0,0,0,0,2,2,155,1,2
27,0,2,7,0,0,0,0,5,1,291,1,0
42,0,2,3,0,0,0,1,3,2,229,4,1
50,0,1,3,0,2,0,1,6,3,36,5,1
32,0,1,6,0,2,0,1,6,2,151,5,1
35,6,2,6,0,2,0,0,3,4,554,1,1
26,6,2,6,0,0,0,1,6,2,241,3,1
26,1,2,2,1,2,0,1,6,1,260,5,1
29,10,1,6,0,1,1,0,3,2,177,2,1
26,8,2,3,0,2,2,0,6,1,554,3,1
55,5,0,3,0,2,0,0,3,4,173,4,1
41,0,2,3,0,2,2,1,6,4,166,2,1
32,1,1,2,0,0,0,0,0,0,208,1,0
55,4,1,6,0,2,0,1,6,1,364,1,1
55,0,1,3,0,2,0,0,1,4,554,2,2
38,9,1,5,0,2,0,1,7,3,205,1,1
38,7,1,3,0,2,0,0,0,1,36,3,1
29,7,1,3,1,1,1,1,6,4,159,1,1
41,1,1,2,0,0,0,0,0,3,161,1,0
38,6,1,2,0,2,0,1,6,0,103,5,1
38,4,2,6,0,0,0,1,3,4,284,5,1
51,0,1,6,1,2,0,0,1,3,147,2,1
29,1,2,3,0,2,0,1,3,0,52,4,1
33,9,1,2,0,0,0,1,6,1,154,2,1
41,4,1,6,0,2,0,0,7,3,54,2,1
46,0,2,6,1,2,0,0,3,2,153,1,1
37,9,2,6,0,0,0,1,6,2,156,5,1
38,11,1,7,0,2,0,0,1,2,44,3,1
55,5,1,0,0,2,0,0,0,4,104,1,0
46,0,1,2,1,2,0,1,4,2,70,1,1
55,0,1,6,0,2,0,0,1,3,153,4,1
26,8,2,3,0,2,0,0,6,3,113,2,0
36,0,2,3,0,2,0,1,4,3,281,1,1
50,10,1,2,1,0,0,0,1,2,74,4,1
28,1,2,2,0,0,0,1,4,3,138,1,1
30,0,1,6,0,2,2,0,6,1,554,4,1
55,5,1,3,0,2,0,1,6,3,554,5,1
49,1,2,1,0,2,0,1,6,4,148,4,1
32,0,2,5,0,0,2,0,6,0,36,4,1
55,5,1,3,1,2,0,1,4,0,554,3,1
27,10,1,3,0,0,2,0,7,3,222,3,0
51,0,1,6,0,0,0,0,7,3,143,1,1
39,0,1,5,0,2,2,1,6,4,72,1,1
27,0,1,6,0,1,1,0,4,1,459,1,0
55,5,0,0,0,0,0,0,9,2,268,1,2
40,7,1,3,1,0,0,0,4,4,157,1,1
43,10,1,6,1,1,1,1,6,3,87,2,1
48,4,0,6,1,0,0,0,6,2,86,2,0
54,0,1,3,0,2,0,0,1,0,107,1,1
54,5,1,3,0,2,0,0,3,2,154,1,1
32,7,1,3,0,0,0,0,6,3,106,1,1
31,2,0,3,0,2,0,1,6,3,168,1,1
40,7,0,3,0,2,0,1,0,0,501,3,1
34,7,1,3,0,0,0,0,6,2,353,5,0
38,9,0,3,0,0,0,1,7,4,59,5,1
37,1,1,2,0,2,0,0,6,4,345,1,1
55,9,1,5,0,2,0,0,0,3,324,1,1
32,9,0,5,0,2,0,1,3,4,36,1,1
38,1,1,5,0,2,0,1,6,0,37,3,0
37,7,1,3,0,2,0,1,6,2,58,2,1
55,11,1,6,0,2,0,0,1,4,164,1,1
26,9,2,5,0,2,0,0,0,0,378,1,1
51,4,1,3,1,0,0,0,1,4,158,1,1
40,1,1,3,1,2,0,1,6,1,98,1,1
45,7,1,5,0,0,0,1,1,2,64,5,1
55,1,1,2,0,0,0,0,0,3,304,1,1
27,1,2,2,0,2,0,0,3,2,402,1,1
35,0,1,3,0,0,0,0,3,2,490,5,1
47,9,1,5,1,0,2,1,6,1,68,1,1
29,0,2,6,1,0,2,1,4,3,554,2,1
29,0,2,6,0,2,2,0,6,4,74,2,1
33,1,1,2,0,2,0,0,3,2,36,5,1
29,1,1,3,0,0,0,1,6,4,357,2,1
51,3,1,0,0,2,0,0,3,1,118,3,1
26,1,2,2,1,0,0,1,3,4,173,4,1
39,0,1,6,0,1,1,1,6,4,513,2,1
26,8,2,3,0,0,0,0,1,1,123,1,1
54,1,1,0,1,2,0,0,1,4,60,1,1
26,8,2,3,1,2,0,0,6,1,160,2,1
36,1,2,1,0,2,0,1,6,0,56,2,1
29,1,1,2,0,0,0,1,6,1,65,5,1
37,9,1,5,1,0,0,1,3,1,237,2,1
45,1,0,2,0,0,0,0,3,1,399,4,1
36,4,1,6,0,0,0,0,6,0,268,1,1
51,1,0,0,0,0,0,1,6,3,360,1,1
42,9,2,7,0,2,0,0,1,3,158,1,0
29,7,2,3,0,2,2,0,4,4,431,2,0
55,5,1,5,0,2,0,1,1,1,411,1,1
28,1,1,0,0,0,2,0,6,4,135,2,0
43,9,1,3,0,0,0,0,3,4,322,4,1
55,0,0,7,0,0,0,0,2,4,205,1,1
33,0,1,6,0,2,2,0,1,0,554,1,1
31,2,2,6,0,2,0,0,7,2,228,1,1
34,4,1,3,0,0,0,1,6,1,221,4,1
41,0,1,3,0,0,0,0,6,4,64,1,0
55,1,2,1,0,2,0,0,7,3,204,2,1
44,7,0,2,0,0,0,0,3,3,554,3,1
46,8,2,7,0,2,0,0,3,0,554,5,1
30,1,1,7,0,0,2,1,4,3,118,2,1
35,9,1,5,0,0,0,1,6,3,262,3,1
54,0,1,6,0,2,0,0,4,2,151,1,1
34,0,2,1,0,0,0,0,6,2,36,5,1
43,1,1,7,1,0,2,1,6,4,73,1,1
55,0,1,3,1,0,0,0,3,4,120,4,1
40,9,0,5,0,2,0,0,1,2,247,1,1
35,0,2,3,0,2,0,0,7,1,139,1,1
34,0,1,6,1,0,0,1,4,3,133,3,1
42,1,0,0,1,2,0,1,6,2,106,1,1
45,7,0,0,0,0,2,0,0,2,554,1,0
47,4,0,6,0,2,0,1,4,0,99,2,1
26,7,0,5,0,0,0,1,6,1,241,1,1
54,0,1,6,0,0,2,0,7,3,98,4,1
33,0,2,6,0,2,0,0,3,1,175,4,1
55,9,1,2,0,2,0,1,4,1,215,3,1
28,6,2,3,0,0,0,0,3,2,63,5,1
34,7,1,3,0,2,2,1,6,3,554,1,1
55,9,1,3,0,0,0,1,6,4,315,1,1
27,7,2,6,0,0,0,0,5,0,212,1,1
42,9,0,6,0,2,0,0,1,1,57,2,1
53,1,1,0,0,0,2,1,4,0,36,5,1
26,1,1,2,1,0,0,0,6,2,273,4,1
55,4,1,6,0,2,0,0,6,1,126,2,1
45,2,1,0,0,1,1,1,7,3,67,5,1
33,9,2,6,0,2,0,0,1,2,36,5,1
50,9,1,3,0,2,0,0,2,1,229,1,0
30,0,2,6,0,0,0,0,3,3,212,1,2
30,9,2,2,0,0,0,0,6,1,63,1,1
28,9,2,5,0,2,0,1,6,0,65,5,1
32,9,0,5,0,0,2,0,6,0,168,1,1
36,9,1,3,0,2,0,0,7,1,38,1,0
48,9,1,6,0,0,0,0,7,3,346,1,1
31,1,2,3,0,2,0,1,4,3,113,3,1
33,1,2,6,0,2,2,0,6,4,389,4,1
44,4,1,2,0,2,0,0,1,3,100,5,1
36,2,2,0,0,0,0,0,4,3,185,1,1
40,4,1,3,0,2,2,1,6,3,265,2,1
30,2,2,6,0,0,0,0,7,2,251,1,1
55,5,1,2,0,2,0,0,6,4,267,1,0
50,2,1,6,0,0,0,1,4,3,424,2,1
55,7,2,3,0,2,0,0,7,0,219,2,0
45,1,0,5,1,0,0,0,3,4,176,1,1
52,0,0,6,0,0,0,0,7,3,213,1,1
41,1,1,2,1,2,2,1,6,4,44,3,1
44,11,1,6,0,2,0,0,1,1,263,2,1
50,3,2,7,0,2,0,1,6,3,473,1,1
44,0,0,6,1,2,2,1,6,3,273,1,1
29,9,2,6,0,0,0,0,3,4,259,1,1
33,0,1,6,0,2,0,0,7,3,51,1,1
30,1,1,3,0,2,2,0,7,0,36,5,1
52,1,1,2,1,2,0,1,6,1,317,1,1
31,7,1,1,0,0,0,1,6,2,554,2,1
